symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,charges,pnl,holding_days
ESCORTS,2021-08-24,2021-10-18,1309.92,1520.95,31,NO_TARGET,108.6,6433.33,55
PETRONET,2021-10-12,2021-10-25,225.82,220.5,751,SL,375.37,-4370.69,13
ICICIBANK,2021-10-19,2021-10-26,752.64,834.375,91,SL,169.44,7268.44,7
PRESTIGE,2021-10-25,2021-10-29,445.22,416.0,136,SL,140.96,-4114.88,4
SBICARD,2021-10-25,2021-10-29,1144.39,1080.1,62,SL,163.31,-4149.29,4
CHOLAFIN,2021-10-27,2021-11-01,614.81,561.25,74,SL,108.6,-4072.04,5
MARICO,2021-11-01,2021-11-03,575.26,553.0,179,SL,232.15,-4216.69,2
PHOENIXLTD,2021-10-25,2021-11-10,471.85,532.6865625,148,SL,173.9,8829.91,16
ADANIPOWER,2021-11-10,2021-11-18,110.25,103.0,551,SL,141.36,-4136.11,8
SUNPHARMA,2021-09-30,2021-11-23,823.85,761.55,58,NO_TARGET,113.87,-3727.27,54
ASTRAL,2021-09-30,2021-11-23,1630.81,1613.1,41,NO_TARGET,157.78,-883.89,54
NTPC,2021-11-02,2021-11-23,135.98,128.55,538,SL,168.04,-4165.38,21
CHOLAFIN,2021-11-03,2021-11-26,616.62,554.2,64,SL,95.6,-4090.48,23
SBIN,2021-11-24,2021-11-26,497.88,477.5,196,SL,220.56,-4215.04,2
BANKBARODA,2021-11-24,2021-11-26,94.27,89.4,821,SL,177.15,-4175.42,2
ESCORTS,2021-10-27,2021-12-01,1557.4,1848.4,32,FORCED_2DAY_AFTER_TARGET,131.21,9180.79,35
ADANIENSOL,2021-10-25,2021-12-20,1836.13,1688.35,18,NO_TARGET,83.15,-2743.19,56
TATAPOWER,2021-12-02,2021-12-20,228.44,213.1,260,SL,138.46,-4126.86,18
LODHA,2021-11-03,2021-12-27,597.97,594.0,53,NO_TARGET,82.68,-293.09,54
ATGL,2021-11-10,2022-01-03,1584.53,1685.05,23,NO_TARGET,95.42,2216.54,54
VEDL,2022-01-04,2022-01-05,334.66,311.3,171,SL,133.79,-4128.35,1
ABCAPITAL,2021-12-22,2022-01-12,116.38,132.8425,455,SL,136.09,7354.35,21
TORNTPOWER,2021-11-24,2022-01-17,542.55,574.25,98,NO_TARGET,132.17,2974.43,54
ADANIGREEN,2021-12-03,2022-01-20,1376.85,1966.7,28,FORCED_2DAY_AFTER_TARGET,114.15,16401.65,48
MOTILALOFS,2021-11-30,2022-01-24,231.15,221.0,394,SL,206.56,-4205.66,55
APLAPOLLO,2021-12-01,2022-01-24,930.63,880.1,37,NO_TARGET,86.91,-1956.52,54
CUMMINSIND,2021-12-23,2022-01-24,933.85,891.05,93,SL,197.49,-4177.89,32
ADANIENT,2022-01-12,2022-01-24,1859.25,1699.1,24,SL,106.84,-3950.44,12
SUNPHARMA,2022-01-27,2022-02-04,815.76,893.95,129,FORCED_2DAY_AFTER_TARGET,251.09,9835.42,8
TATAPOWER,2022-01-27,2022-02-14,242.05,223.0,209,SL,119.53,-4100.98,18
POWERGRID,2022-01-21,2022-02-15,158.74,147.25,348,SL,129.52,-4128.04,25
OBEROIRLTY,2022-01-28,2022-02-15,896.46,855.05,96,SL,195.8,-4171.16,18
TATASTEEL,2022-02-07,2022-02-22,120.35,114.65,701,SL,192.14,-4187.84,15
BSE,2022-01-28,2022-02-24,226.12,207.5,214,SL,114.8,-4099.48,27
INDHOTEL,2022-02-16,2022-02-24,207.93,193.0,267,SL,130.13,-4116.44,8
ONGC,2022-02-17,2022-02-24,163.97,150.65,300,SL,116.51,-4112.51,7
AXISBANK,2022-01-27,2022-03-07,758.77,688.2,56,SL,102.15,-4054.07,39
CANBK,2022-01-27,2022-03-07,44.87,40.95,1020,SL,109.15,-4107.55,39
VBL,2022-02-28,2022-03-07,125.88,117.3,466,SL,136.87,-4135.15,7
JSWENERGY,2022-03-02,2022-03-08,343.71,310.0,118,SL,97.97,-4075.75,6
OIL,2022-03-17,2022-03-21,158.74,148.8,402,SL,147.95,-4143.83,4
ONGC,2022-03-21,2022-03-30,166.58,156.1,381,SL,147.21,-4140.09,9
